,STATE,DATE,HIGHWAY_GALLONS,State_abb,StateCode,FIPScode,MF_num,year
329,California,1966-06-30,2054489000.0,CA,5.0,6.0,MF-22,1966
330,California,1966-09-30,2115954000.0,CA,5.0,6.0,MF-22,1966
331,California,1966-12-31,2015053000.0,CA,5.0,6.0,MF-22,1966
332,California,1967-03-31,1917766000.0,CA,5.0,6.0,MF-22,1967
333,California,1967-06-30,2079695000.0,CA,5.0,6.0,MF-22,1967
334,California,1967-09-30,2192789000.0,CA,5.0,6.0,MF-22,1967
335,California,1967-12-31,2102675000.0,CA,5.0,6.0,MF-22,1967
336,California,1968-03-31,2050880000.0,CA,5.0,6.0,MF-22,1968
337,California,1968-06-30,2213575000.0,CA,5.0,6.0,MF-22,1968
338,California,1968-09-30,2334483000.0,CA,5.0,6.0,MF-22,1968
339,California,1968-12-31,2212381000.0,CA,5.0,6.0,MF-22,1968
340,California,1969-03-31,2130572000.0,CA,5.0,6.0,MF-22,1969
341,California,1969-06-30,2382171000.0,CA,5.0,6.0,MF-22,1969
342,California,1969-09-30,2454091000.0,CA,5.0,6.0,MF-22,1969
343,California,1969-12-31,2354969000.0,CA,5.0,6.0,MF-22,1969
344,California,1970-03-31,2288331000.0,CA,5.0,6.0,MF-22,1970
345,California,1970-06-30,2453100000.0,CA,5.0,6.0,MF-22,1970
346,California,1970-09-30,2555464000.0,CA,5.0,6.0,MF-22,1970
347,California,1970-12-31,2437480000.0,CA,5.0,6.0,MF-22,1970
348,California,1971-03-31,2336296000.0,CA,5.0,6.0,MF-22,1971
349,California,1971-06-30,2573644000.0,CA,5.0,6.0,MF-22,1971
350,California,1971-09-30,2625096000.0,CA,5.0,6.0,MF-22,1971
351,California,1971-12-31,2556390000.0,CA,5.0,6.0,MF-22,1971
